epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,265,1.3962264150943404,0,10,1,0,54734,9.73587e-05,0,0,54.226350000000004,54.226308,922.0616679269405
1,train,50000,272,1.2647058823529413,0,7,0.9550009,50000,109911,0.0147857,0.0033020232520705375,12500,191.63001899999998,137.315021,364.1262233066257
1,test,10000,17,6.411764705882353,2,12,0.05,50000,120198,0.0147896,0.0033020232520705375,12500,217.79496799999998,26.150029999999987,382.4087391104333
2,train,50000,262,1.3816793893129782,0,7,0.9100009,100000,174686,0.0296051,0.0037819934510495345,25000,358.472779,140.675662,355.4275081357001
2,test,10000,18,1.5,0,3,0.05,100000,185014,0.0296005,0.0037819934510495345,25000,384.695808,26.210970999999972,381.5196316076963
3,train,50000,265,1.4641509433962279,0,9,0.8650009,150000,239722,0.0400517,0.0037765146314093744,37500,529.338226,144.64027500000003,345.68518346636154
3,test,10000,14,6.499999999999999,2,11,0.05,150000,249987,0.0400614,0.0037765146314093744,37500,555.5312419999999,26.180970000000002,381.9568182538691
4,train,50000,251,1.6613545816733066,0,8,0.8200009,200000,304462,0.043182,0.0038537474167602125,50000,703.7495309999999,148.21614699999998,337.34516118544093
4,test,10000,17,1.2941176470588236,0,4,0.05,200000,314800,0.0431821,0.0038537474167602125,50000,729.9969239999999,26.235321999999996,381.16551418732354
5,train,50000,256,1.5351562499999993,0,7,0.7750009,250000,369508,0.0590134,0.0039111034208094576,62500,882.6675899999999,152.66852899999992,327.5069218751693
5,test,10000,17,0.5294117647058825,0,3,0.05,250000,379826,0.0590215,0.0039111034208094576,62500,908.901,26.221378999999956,381.3681957764318
6,train,50000,249,1.759036144578312,0,7,0.7300009,300000,434355,0.0679495,0.0039314461820609175,75000,1065.354775,156.4516349999999,319.5875837283518
6,test,10000,19,0.7894736842105262,0,3,0.05,300000,444709,0.0679506,0.0039314461820609175,75000,1091.526492,26.15949099999989,382.2704348490589
7,train,50000,243,1.8312757201646093,0,9,0.6850008999999999,350000,499120,0.0852184,0.0039593958224356986,87500,1251.511878,159.983209,312.5327983638583
7,test,10000,17,1.3529411764705883,0,3,0.05,350000,509468,0.0852652,0.0039593958224356986,87500,1277.725277,26.201714999999922,381.6544069729798
8,train,50000,248,1.725806451612903,0,5,0.6400009,400000,563963,0.0833607,0.0039650709784239775,100000,1441.82664,164.09922399999982,304.6937016594305
8,test,10000,67,0.8507462686567164,0,6,0.05,400000,575213,0.0833688,0.0039650709784239775,100000,1469.381681,27.540340000000015,363.10372348344265
9,train,50000,236,1.9533898305084751,0,6,0.5950008999999999,450000,629371,0.0926133,0.0039550215541704998,112500,1637.728366,168.3445509999999,297.00991034749933
9,test,10000,71,0.619718309859155,0,3,0.05,450000,640713,0.092619,0.0039550215541704998,112500,1665.4686530000001,27.728131000000076,360.6445742772916
10,train,50000,246,1.772357723577235,0,7,0.5500008999999999,500000,694987,0.105409,0.0039619980386794759,125000,1837.3450770000002,171.8742830000001,290.91030448109547
10,test,10000,19,0.4736842105263159,0,4,0.05,500000,705320,0.10541,0.0039619980386794759,125000,1863.628253,26.271163000000115,380.6455009243388
11,train,50000,231,2.0346320346320352,0,7,0.5050009,550000,759360,0.119378,0.0039364755088192177,137500,2038.954986,175.3245989999998,285.18530933585686
11,test,10000,18,0.44444444444444453,0,3,0.05,550000,769678,0.1194,0.0039364755088192177,137500,2065.178613,26.21189800000002,381.5061389297331
12,train,50000,238,1.8445378151260508,0,8,0.46000090000000005,600000,824075,0.146101,0.0039353085829686449,150000,2244.320728,179.13997500000005,279.11134854183155
12,test,10000,16,7.3125,1,11,0.05,600000,834382,0.145973,0.0039353085829686449,150000,2270.484809,26.152353999999832,382.37475678097906
13,train,50000,234,1.9145299145299146,0,11,0.4150009,650000,888677,0.161048,0.0039582424503804481,162500,2453.191989,182.70506999999998,273.66509314711413
13,test,10000,18,1.0555555555555558,0,3,0.05,650000,899046,0.161058,0.0039582424503804481,162500,2479.385993,26.182312999999795,381.9372260961084
14,train,50000,231,1.9480519480519487,0,7,0.3700009000000001,700000,953150,0.21445,0.0039618345545768142,175000,2665.419113,186.03099699999984,268.77241323390876
14,test,10000,19,1.5789473684210529,0,4,0.05,700000,963472,0.214447,0.0039618345545768142,175000,2691.50027,26.069457000000057,383.59065169635016
15,train,50000,221,2.0271493212669682,0,7,0.32500090000000004,750000,1000000,0.192814,0.0039810018308595423,187500,2881.085649,189.58324700000003,263.7363838377554
15,test,10000,15,6.199999999999998,2,11,0.05,750000,1000000,0.192936,0.0039810018308595423,187500,2907.291914,26.194542999999612,381.7589029898383
16,train,50000,217,2.0138248847926263,0,7,0.2800009,800000,1000000,0.190092,0.0040017603922961218,200000,3100.357685,193.06364200000007,258.9819578768745
16,test,10000,16,0.3125,0,3,0.05,800000,1000000,0.190046,0.0040017603922961218,200000,3126.430249,26.060891999999967,383.71672005701157
17,train,50000,212,2.108490566037738,0,8,0.23500090000000007,850000,1000000,0.219548,0.0040075892307776693,212500,3323.2210720000003,196.7886940000003,254.07963731900128
17,test,10000,69,0.7246376811594201,0,4,0.05,850000,1000000,0.219541,0.0040075892307776693,212500,3350.597133,27.364284000000225,365.43985583543565
18,train,50000,207,2.115942028985509,0,7,0.19000090000000003,900000,1000000,0.239941,0.0040232254952928502,225000,3551.064307,200.46504800000002,249.42003854956297
18,test,10000,69,0.7246376811594203,0,3,0.05,900000,1000000,0.239926,0.0040232254952928502,225000,3578.593878,27.51785000000018,363.4004836860414
19,train,50000,208,1.9807692307692308,0,7,0.1450009,950000,1000000,0.224731,0.0040334222957835427,237500,3782.4124580000002,203.81645600000002,245.31875875616242
19,test,10000,17,1.0,0,3,0.05,950000,1000000,0.224723,0.0040334222957835427,237500,3808.34848,25.92434000000003,385.73788185157224
20,train,50000,181,2.331491712707183,0,10,0.10000090000000006,1000000,1000000,0.24309,0.0040421368967650684,250000,4014.784629,206.4340390000002,242.20811762540745
20,test,10000,15,0.8666666666666666,0,3,0.05,1000000,1000000,0.243076,0.0040421368967650684,250000,4040.686781,25.89045299999998,386.2427590587159
21,train,50000,176,2.0681818181818206,0,7,0.1,1050000,1000000,0.262212,0.0040519227133777114,262500,4248.997489,208.30859800000007,240.02849848761394
21,test,10000,16,5.4375,2,11,0.05,1050000,1000000,0.262302,0.0040519227133777114,262500,4275.004929,25.995777999999518,384.6778503801727
22,train,50000,180,2.200000000000001,0,7,0.1,1100000,1000000,0.268424,0.0040716101328154191,275000,4483.363224,208.35614199999964,239.9737272923785
22,test,10000,16,0.875,0,3,0.05,1100000,1000000,0.269492,0.0040716101328154191,275000,4509.279365,25.904328000000532,386.0358778656522
23,train,50000,176,2.159090909090909,0,7,0.1,1150000,1000000,0.263053,0.0040821683149985747,287500,4717.707208,208.42570999999953,239.893629245644
23,test,10000,15,2.8,2,3,0.05,1150000,1000000,0.262274,0.0040821683149985747,287500,4743.689173,25.97032499999932,385.0548655051587
24,train,50000,188,1.8617021276595749,0,7,0.1,1200000,1000000,0.29107,0.0040924172233466416,300000,4952.189284,208.49799600000006,239.81045841802714
24,test,10000,16,5.25,3,7,0.05,1200000,1000000,0.29004,0.0040924172233466416,300000,4978.208525,26.00760199999968,384.50296186477027
25,train,50000,182,2.0219780219780215,0,8,0.1,1250000,1000000,0.306652,0.00409930855544971,312500,5186.363737,208.15310099999988,240.2078074253625
