epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,52,-20.59615384615385,-21,-18,1,0,50960,6.84116e-05,0,0,54.662749999999996,54.662684,914.7007856401636
1,train,50000,51,-20.098039215686278,-21,-6,0.9550009,50000,101845,-0.0341572,0.010849032423361472,12500,297.997762,243.173572,205.61444892539555
1,test,10000,13,-21.0,-21,-21,0.05,50000,112135,-0.034156,0.010849032423361472,12500,351.184596,53.163377999999966,188.09940933399693
2,train,50000,53,-20.39622641509434,-21,-17,0.9100009,100000,163050,-0.061542,0.010975086140824286,25000,599.352033,248.162166,201.48115567302068
2,test,10000,13,-21.0,-21,-21,0.05,100000,173317,-0.0615359,0.010975086140824286,25000,655.888938,56.51528900000005,176.94326928063646
3,train,50000,51,-20.29411764705883,-21,-18,0.8650009,150000,224348,-0.0641529,0.011010996893544601,37500,907.7274160000001,251.8339410000001,198.54353150912243
3,test,10000,13,-21.0,-21,-21,0.05,150000,234626,-0.0641535,0.011010996893544601,37500,952.434867,44.68404100000009,223.79354633570358
4,train,50000,52,-20.346153846153847,-21,-12,0.8200009,200000,285522,-0.077157,0.011076613219716891,50000,1176.101987,223.6630960000001,223.5505136707934
4,test,10000,13,-21.0,-21,-21,0.05,200000,295779,-0.0771544,0.011076613219716891,50000,1218.536754,42.418288000000075,235.74737386855364
5,train,50000,53,-20.320754716981135,-21,-13,0.7750009,250000,346721,-0.0842665,0.011090919388183233,62500,1434.623294,216.0826770000001,231.39291263038163
5,test,10000,12,-21.0,-21,-21,0.05,250000,356907,-0.0842614,0.011090919388183233,62500,1476.5104379999998,41.87062399999991,238.83092833772963
6,train,50000,52,-20.307692307692307,-21,-12,0.7300009,300000,407836,-0.120774,0.011095105182759014,75000,1711.718929,235.20450499999993,212.58096225665412
6,test,10000,13,-21.0,-21,-21,0.05,300000,418091,-0.120772,0.011095105182759014,75000,1754.3944589999999,42.659460999999965,234.41458859501316
7,train,50000,53,-20.37735849056603,-21,-12,0.6850008999999999,350000,469003,-0.121051,0.011122049026211511,87500,2019.536553,265.13811699999997,188.58095759954426
