epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,94,82.1276595744681,0,300,1,0,51773,0.00023763,0,0,44.908832999999994,44.908783,1113.3679574438702
1,train,250000,451,101.59645232815971,0,360,0.7750009,250000,310063,0.146996,0.0041147806557949081,62500,953.406228,908.467846,275.188605849678
1,test,125000,80,45.750000000000014,0,100,0.05,250000,436367,0.146933,0,62500,1424.471423,471.05098999999996,265.36405326310853
2,train,250000,421,118.95486935866982,0,400,0.5500008999999999,500000,694092,0.37557,0.0019105172021162688,125000,2478.950619,1054.4758720000002,237.08460917728797
2,test,125000,217,101.01382488479257,80,240,0.05,500000,822968,0.374232,0,125000,2951.209173,472.24506500000007,264.6930783702313
3,train,250000,395,135.08860759493666,0,480,0.32500090000000004,750000,1000000,0.648242,0.0016067944623384008,187500,4150.012457999999,1198.7999849999997,208.54187781792479
3,test,125000,1,0,9223372036854775807,-9223372036854775808,0.05,750000,1000000,0.639986,0,187500,4614.524649,464.4986710000003,269.1073361542512
4,train,250000,406,122.16748768472917,0,360,0.10000090000000006,1000000,1000000,1.06311,0.0012065722426591165,250000,5954.124483,1339.5965180000003,186.62335758624295
4,test,125000,213,94.74178403755863,80,180,0.05,1000000,1000000,1.05118,0,250000,6372.340692,418.2026110000006,298.89818167586674
5,train,250000,423,110.35460992907797,0,300,0.1,1250000,1000000,1.34881,0.001128143795005362,312500,7768.207713999999,1395.864141,179.1005246548561
5,test,125000,5,8.0,0,20,0.05,1250000,1000000,1.3524,0,312500,8188.569022999999,420.34790299999986,297.3727217571014
6,train,250000,383,149.34725848563974,40,460,0.1,1500000,1000000,1.64537,0.00096554579993174535,375000,9584.899112,1396.3272689999994,179.04112134044422
6,test,125000,151,143.57615894039753,60,320,0.05,1500000,1000000,1.63899,0,375000,10001.834237,416.92176800000016,299.8164394237145
7,train,250000,407,129.63144963144964,20,400,0.1,1750000,1000000,2.08434,0.0010647627026137893,437500,11398.06321,1396.226149,179.05408817837574
7,test,125000,266,67.29323308270675,40,100,0.05,1750000,1000000,2.02847,0,437500,11817.295968999999,419.2192759999998,298.17331204970657
8,train,250000,328,203.78048780487805,0,460,0.1,2000000,1000000,2.2858,0.0010544474570569548,500000,13213.056551,1395.7577390000006,179.11417792253408
8,test,125000,173,140.4624277456648,80,260,0.05,2000000,1000000,2.28595,0,500000,13630.07798,417.0079889999997,299.7544490688405
9,train,250000,322,212.48447204968954,60,500,0.1,2250000,1000000,2.72847,0.00099009404030639099,562500,15024.669666,1394.5888539999996,179.26430380032284
9,test,125000,50,32.400000000000006,0,100,0.05,2250000,1000000,2.75906,0,562500,15437.484285999999,412.80107899999894,302.8092860193331
10,train,250000,327,209.296636085627,60,460,0.1,2500000,1000000,2.94942,0.00089394793083500323,625000,16835.161016,1397.6738989999994,178.8686189095101
10,test,125000,155,178.58064516129033,100,340,0.05,2500000,1000000,2.87675,0,625000,17252.173203,416.99873300000036,299.76110263145546
11,train,250000,311,222.05787781350497,40,500,0.1,2750000,1000000,3.50954,0.0008812762406398936,687500,18647.599316,1395.4232899999988,179.15710723159867
11,test,125000,114,252.45614035087718,100,540,0.05,2750000,1000000,3.55372,0,687500,19063.857976,416.2451839999994,300.30377480595706
12,train,250000,308,231.49350649350652,80,440,0.1,3000000,1000000,3.57089,0.00077745295569130093,750000,20458.20296,1394.3421689999996,179.29601898169378
12,test,125000,170,168.35294117647055,80,320,0.05,3000000,1000000,3.56408,0,750000,20875.857932,417.6416160000008,299.2996751549773
13,train,250000,303,231.08910891089113,20,520,0.1,3250000,1000000,3.94449,0.00066942781297733194,812500,22269.396204,1393.5354609999995,179.39981220183682
13,test,125000,210,97.80952380952382,80,220,0.05,3250000,1000000,3.94223,0,812500,22687.116985,417.70740099999966,299.2525382618253
14,train,250000,298,239.26174496644296,80,500,0.1,3500000,1000000,3.98746,0.00058734641757574447,875000,24081.263258,1394.143465000001,179.3215736229842
14,test,125000,123,297.39837398373993,160,520,0.05,3500000,1000000,3.96971,0,875000,24497.993393,416.7167069999996,299.9639752864531
15,train,250000,281,266.47686832740203,100,600,0.1,3750000,1000000,4.21468,0.00053247028317600202,937500,25891.894049,1393.8978439999992,179.35317216833297
15,test,125000,114,346.84210526315786,120,640,0.05,3750000,1000000,4.18623,0,937500,26308.449438,416.5419030000012,300.0898567460562
16,train,250000,261,288.4291187739462,80,600,0.1,4000000,1000000,4.18812,0.00052737473834696077,1000000,27701.928685,1393.4763549999989,179.40742166378575
16,test,125000,121,335.0413223140496,140,640,0.05,4000000,1000000,4.19613,0,1000000,28118.4003,416.4582590000027,300.15012861108653
17,train,250000,257,281.16731517509714,80,620,0.1,4250000,1000000,4.35387,0.00051513210329162174,1062500,29509.979174,1391.5760179999997,179.65242054063629
17,test,125000,190,100.0,40,260,0.05,4250000,1000000,4.37216,0,1062500,29927.174334,417.1817149999988,299.6296230289009
18,train,250000,262,290.2290076335878,80,640,0.1,4500000,1000000,4.30525,0.00046366642236725798,1125000,31319.969383,1392.7922399999989,179.49554342720936
18,test,125000,146,215.34246575342468,100,460,0.05,4500000,1000000,4.44059,0,1125000,31736.446595,416.46378200000254,300.14614812290984
19,train,250000,238,320.58823529411774,100,600,0.1,4750000,1000000,4.53868,0.0004682771762762929,1187500,33128.665368,1392.2159169999977,179.5698475698439
19,test,125000,125,313.11999999999983,140,480,0.05,4750000,1000000,4.51042,0,1187500,33545.314596000004,416.63579200000095,300.02223140732883
20,train,250000,246,357.07317073170725,100,760,0.1,5000000,1000000,4.45407,0.00047280763077941042,1250000,34938.972756,1393.6553439999989,179.3843801312186
20,test,125000,113,263.8938053097343,80,700,0.05,5000000,1000000,4.47034,0,1250000,35354.813397000005,415.8272100000031,300.6056289582374
21,train,250000,235,396.00000000000006,120,700,0.1,5250000,1000000,4.5891,0.00048406767968022511,1312500,36749.387648,1394.5714169999992,179.26654522849736
21,test,125000,132,203.03030303030297,80,380,0.05,5250000,1000000,4.62709,0,1312500,37165.832238,416.43111299999873,300.16969457323034
22,train,250000,224,436.25,140,940,0.1,5500000,1000000,4.97864,0.00049618529999607009,1375000,38560.553951,1394.7188939999978,179.24758965802064
22,test,125000,92,208.91304347826085,20,480,0.05,5500000,1000000,4.97513,0,1375000,38977.415811000006,416.84845200000564,299.8691716384215
23,train,250000,229,453.2751091703058,120,960,0.1,5750000,1000000,5.31589,0.0004808256045301359,1437500,40372.036738,1394.6181080000024,179.2605434892285
