epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,93,174.46236559139788,30,710,1,0,51694,4.96807e-05,0,0,84.257889,84.257797,593.4168917328802
1,train,250000,513,144.8343079922026,5,640,0.7750009,250000,310984,0.180552,0.0092541780798510113,62500,1296.677434,1212.3933399999999,206.2037061338526
1,test,125000,285,26.157894736842103,0,110,0.05,250000,441159,0.187165,0,62500,1842.236558,545.537996,229.13161121044993
2,train,250000,476,175.3256302521008,10,845,0.5500008999999999,500000,699822,0.39783,0.0040915284909990744,125000,3178.615793,1336.376051,187.0730920483998
2,test,125000,256,38.496093749999986,0,335,0.05,500000,829408,0.39887,0,125000,3721.530066,542.888207,230.2499822030579
3,train,250000,449,190.2115812917595,10,750,0.32500090000000004,750000,1000000,0.58012,0.002874128940231846,187500,5272.466705,1550.9327220000005,161.19332351026372
3,test,125000,179,254.05027932960883,95,730,0.05,750000,1000000,0.583439,0,187500,5810.673605999999,538.1444940000001,232.27962265465447
4,train,250000,426,200.34037558685446,5,960,0.10000090000000006,1000000,1000000,1.03149,0.0025442680214217001,250000,7556.660067999999,1745.983193,143.1857998417743
4,test,125000,270,48.07407407407409,5,350,0.05,1000000,1000000,1.02575,0,250000,8104.989098999999,548.2540520000002,227.9964909406633
5,train,250000,424,208.46698113207535,15,945,0.1,1250000,1000000,1.35116,0.0023141498164871333,312500,9935.276212,1830.282682,136.59092251630668
5,test,125000,187,145.82887700534758,30,520,0.05,1250000,1000000,1.33324,0,312500,10480.644170000001,545.3220050000018,229.22236560030177
6,train,250000,415,227.0240963855424,15,890,0.1,1500000,1000000,1.701,0.0020223285894895673,375000,12309.415227000001,1828.7667150000016,136.70415037054073
6,test,125000,287,151.04529616724724,30,515,0.05,1500000,1000000,1.64993,0,375000,12856.282954,546.8204270000006,228.59424013433915
7,train,250000,436,212.08715596330268,15,695,0.1,1750000,1000000,1.55094,0.0019128378750105073,437500,14694.662842,1838.375183,135.98965124846336
7,test,125000,213,159.90610328638493,30,565,0.05,1750000,1000000,1.56638,0,437500,15239.168864000001,544.4553200000009,229.58725061222614
8,train,250000,437,216.4645308924484,5,695,0.1,2000000,1000000,1.81826,0.0016989082492834676,500000,17065.881941,1826.7097010000016,136.85808963687097
8,test,125000,209,186.29186602870823,105,380,0.05,2000000,1000000,1.8207,0,500000,17612.180947999997,546.2409559999978,228.83674068555288
9,train,250000,415,257.46987951807205,15,910,0.1,2250000,1000000,1.77347,0.0013296246188120027,562500,19434.765987,1822.5816129999985,137.16806875303433
9,test,125000,214,262.14953271028025,75,755,0.05,2250000,1000000,1.74149,0,562500,19977.953729999997,543.1378289999993,230.14416106892116
10,train,250000,459,226.25272331154682,0,670,0.1,2500000,1000000,2.10144,0.0012594065574568591,625000,21816.250721999997,1838.293437999997,135.9956984190684
10,test,125000,212,213.16037735849068,35,580,0.05,2500000,1000000,2.17338,0,625000,22361.64477,545.3449529999998,229.2127199717571
11,train,250000,482,218.20539419087137,20,740,0.1,2750000,1000000,2.35421,0.0013577821180530086,687500,24202.945122999998,1841.2966779999988,135.77388314823222
11,test,125000,202,305.5445544554455,35,745,0.05,2750000,1000000,2.38301,0,687500,24741.218215999997,538.2097939999985,232.2514405971593
12,train,250000,452,264.15929203539827,20,925,0.1,3000000,1000000,3.26845,0.0014028391246347196,750000,26576.638877999998,1835.4171580000002,136.2088171129541
12,test,125000,215,332.0697674418603,80,775,0.05,3000000,1000000,3.16595,0,750000,27115.008607,538.3070910000024,232.20946201505535
13,train,250000,443,283.3972911963885,35,725,0.1,3250000,1000000,3.09034,0.0013363437815450436,812500,28945.434035,1830.4221570000009,136.5805145244425
13,test,125000,204,338.67647058823553,95,710,0.05,3250000,1000000,3.06242,0,812500,29488.534514,543.0464539999994,230.1828859746134
14,train,250000,430,311.3488372093027,0,840,0.1,3500000,1000000,2.97321,0.0012723423128154609,875000,31318.149161999998,1829.6113330000007,136.64104254867988
14,test,125000,186,421.8279569892474,110,1000,0.05,3500000,1000000,3.07204,0,875000,31851.668321999998,533.467432999998,234.31608429600325
15,train,250000,420,328.25,50,810,0.1,3750000,1000000,3.63294,0.0012020642600435853,937500,33669.245761000006,1817.5738690000035,137.54599153515863
15,test,125000,218,238.532110091743,45,695,0.05,3750000,1000000,3.68311,0,937500,34206.385585,537.0916609999986,232.73494838342003
16,train,250000,405,365.8765432098764,30,950,0.1,4000000,1000000,3.80488,0.0012326893572779346,1000000,36015.345994,1808.955366000002,138.20130927431612
16,test,125000,220,315.6136363636364,75,740,0.05,4000000,1000000,3.84077,0,1000000,36551.633532,536.2248179999951,233.11117987083009
17,train,250000,373,409.0884718498662,50,1000,0.1,4250000,1000000,3.9911,0.0013078478664662542,1062500,38361.471454000006,1809.8345470000058,138.13417387484492
